iter	Passed	Remaining
0	171	170844
1	173	86597
2	176	58560
3	178	44350
4	180	35872
5	182	30202
6	185	26303
7	187	23283
8	189	20919
9	191	19004
10	193	17426
11	195	16117
12	198	15041
13	200	14112
14	202	13283
15	204	12569
16	206	11944
17	208	11382
18	210	10889
19	213	10452
20	215	10046
21	217	9678
22	219	9334
23	221	9013
24	223	8718
25	225	8452
26	227	8206
27	229	7979
28	231	7761
29	233	7560
30	235	7369
31	238	7203
32	240	7033
33	242	6876
34	244	6742
35	247	6615
36	248	6478
37	250	6348
38	252	6229
39	254	6118
40	257	6016
41	259	5914
42	261	5814
43	263	5717
44	265	5623
45	267	5537
46	268	5451
47	270	5374
48	272	5297
49	275	5233
50	277	5164
51	279	5103
52	281	5035
53	283	4970
54	286	4918
55	288	4871
56	291	4821
57	294	4778
58	296	4735
59	298	4681
60	301	4641
61	303	4599
62	306	4559
63	308	4513
64	310	4467
65	313	4431
66	315	4396
67	316	4342
68	318	4302
69	321	4264
70	323	4231
71	325	4200
72	328	4170
73	331	4141
74	333	4113
75	335	4080
76	338	4053
77	340	4025
78	343	3999
79	345	3974
80	348	3951
81	350	3927
82	353	3905
83	356	3884
84	357	3850
85	360	3826
86	362	3800
87	364	3780
88	367	3761
89	370	3742
90	372	3723
91	375	3701
92	378	3693
93	381	3675
94	383	3651
95	385	3627
96	387	3605
97	389	3583
98	391	3564
99	393	3543
100	395	3521
101	396	3492
102	398	3470
103	400	3449
104	402	3428
105	404	3410
106	406	3393
107	408	3375
108	411	3359
109	413	3344
110	416	3332
111	418	3321
112	421	3309
113	423	3293
114	425	3275
115	427	3255
116	428	3237
117	430	3219
118	432	3203
119	434	3187
120	436	3173
121	439	3163
122	440	3142
123	442	3128
124	445	3118
125	448	3108
126	451	3101
127	452	3084
128	456	3079
129	458	3068
130	461	3059
131	463	3048
132	465	3037
133	468	3025
134	470	3013
135	472	3002
136	475	2998
137	478	2985
138	480	2975
139	482	2965
140	485	2955
141	487	2947
142	490	2937
143	492	2925
144	494	2914
145	496	2903
146	498	2892
147	500	2881
148	502	2871
149	505	2862
150	507	2851
151	509	2840
152	511	2831
153	513	2820
154	515	2810
155	517	2802
156	520	2792
157	522	2784
158	524	2775
159	527	2766
160	529	2758
161	531	2750
162	534	2743
163	536	2734
164	539	2728
165	544	2735
166	548	2733
167	550	2728
168	554	2724
169	556	2716
170	559	2714
171	563	2710
172	565	2704
173	568	2699
174	572	2700
175	577	2701
176	579	2695
177	582	2689
178	585	2685
179	590	2688
180	591	2675
181	593	2667
182	595	2658
183	597	2651
184	603	2658
185	606	2653
186	608	2645
187	610	2638
188	613	2630
189	618	2636
190	621	2631
191	624	2626
192	626	2620
193	629	2614
194	631	2608
195	634	2604
196	637	2597
197	640	2593
198	642	2588
199	645	2583
200	648	2579
201	651	2574
202	654	2568
203	656	2562
204	659	2558
205	662	2552
206	664	2545
207	666	2538
208	669	2532
209	672	2528
210	674	2520
211	676	2513
212	678	2505
213	679	2497
214	681	2489
215	683	2481
216	685	2474
217	687	2467
218	690	2460
219	692	2454
220	694	2448
221	696	2441
222	698	2434
223	700	2427
224	702	2420
225	704	2412
226	706	2406
227	708	2399
228	710	2392
229	712	2386
230	714	2379
231	716	2372
232	718	2366
233	720	2360
234	722	2353
235	724	2346
236	727	2340
237	729	2334
238	731	2328
239	733	2323
240	736	2318
241	738	2314
242	741	2309
243	743	2304
244	746	2298
245	748	2293
246	750	2288
247	753	2283
248	755	2278
249	757	2272
250	759	2267
251	762	2261
252	764	2256
253	767	2253
254	771	2255
255	775	2253
256	778	2250
257	781	2248
258	786	2250
259	789	2247
260	792	2243
261	794	2239
262	798	2237
263	801	2234
264	804	2229
265	806	2226
266	809	2221
267	811	2217
268	814	2213
269	817	2209
270	819	2205
271	822	2201
272	827	2204
273	831	2202
274	834	2199
275	836	2195
276	840	2192
277	843	2189
278	845	2186
279	848	2181
280	851	2179
281	854	2175
282	857	2171
283	859	2167
284	862	2163
285	864	2158
286	866	2153
287	869	2150
288	872	2147
289	875	2142
290	877	2137
291	879	2132
292	882	2128
293	884	2123
294	887	2120
295	889	2116
296	892	2112
297	895	2108
298	897	2104
299	899	2099
300	901	2094
301	904	2090
302	906	2085
303	908	2081
304	911	2076
305	913	2072
306	915	2067
307	918	2063
308	920	2058
309	923	2054
310	925	2049
311	927	2045
312	929	2040
313	931	2035
314	934	2031
315	936	2026
316	938	2022
317	940	2017
318	943	2013
319	945	2009
320	947	2004
321	951	2003
322	953	1999
323	956	1996
324	959	1992
325	962	1990
326	967	1990
327	969	1987
328	972	1983
329	975	1981
330	979	1978
331	981	1975
332	984	1971
333	986	1966
334	988	1963
335	991	1959
336	994	1955
337	996	1952
338	1001	1953
339	1005	1951
340	1009	1950
341	1011	1946
342	1014	1942
343	1016	1939
344	1019	1934
345	1021	1930
346	1023	1926
347	1026	1922
348	1028	1918
349	1031	1915
350	1033	1910
351	1036	1907
352	1038	1904
353	1044	1905
354	1047	1902
355	1049	1899
356	1055	1901
357	1058	1898
358	1061	1895
359	1065	1893
360	1069	1892
361	1072	1890
362	1075	1887
363	1078	1884
364	1081	1881
365	1084	1877
366	1086	1874
367	1090	1872
368	1094	1871
369	1097	1869
370	1101	1868
371	1104	1865
372	1108	1863
373	1111	1860
374	1114	1857
375	1117	1854
376	1119	1850
377	1122	1846
378	1124	1843
379	1127	1839
380	1130	1836
381	1133	1833
382	1136	1830
383	1138	1826
384	1142	1824
385	1145	1822
386	1149	1821
387	1153	1819
388	1155	1815
389	1158	1812
390	1161	1808
391	1164	1805
392	1167	1802
393	1169	1799
394	1172	1795
395	1174	1792
396	1177	1788
397	1179	1784
398	1182	1781
399	1184	1777
400	1187	1773
401	1189	1769
402	1192	1767
403	1195	1763
404	1197	1759
405	1200	1755
406	1203	1753
407	1207	1751
408	1211	1750
409	1214	1747
410	1217	1744
411	1219	1740
412	1226	1742
413	1229	1739
414	1232	1736
415	1235	1733
416	1239	1732
417	1241	1729
418	1244	1725
419	1247	1722
420	1249	1718
421	1252	1714
422	1254	1711
423	1257	1707
424	1259	1703
425	1261	1699
426	1264	1697
427	1267	1693
428	1269	1690
429	1272	1686
430	1274	1683
431	1277	1679
432	1280	1676
433	1283	1673
434	1285	1669
435	1287	1665
436	1289	1661
437	1292	1658
438	1294	1654
439	1297	1650
440	1299	1647
441	1302	1644
442	1304	1640
443	1307	1637
444	1310	1634
445	1312	1630
446	1314	1626
447	1316	1622
448	1319	1618
449	1321	1615
450	1324	1612
451	1326	1608
452	1329	1605
453	1331	1601
454	1334	1598
455	1337	1595
456	1339	1591
457	1341	1588
458	1344	1584
459	1346	1581
460	1349	1577
461	1351	1574
462	1354	1570
463	1356	1567
464	1359	1564
465	1364	1563
466	1367	1561
467	1370	1558
468	1373	1554
469	1376	1552
470	1379	1549
471	1382	1546
472	1385	1543
473	1387	1539
474	1392	1538
475	1395	1536
476	1398	1533
477	1401	1530
478	1404	1528
479	1409	1526
480	1411	1523
481	1414	1520
482	1417	1517
483	1422	1516
484	1425	1513
485	1428	1510
486	1430	1507
487	1433	1503
488	1436	1501
489	1439	1498
490	1442	1495
491	1445	1492
492	1448	1489
493	1451	1486
494	1454	1484
495	1457	1481
496	1460	1477
497	1464	1476
498	1467	1473
499	1470	1470
500	1473	1467
501	1479	1467
502	1483	1465
