iter	Passed	Remaining
0	168	167910
1	170	85055
2	171	57022
3	173	43214
4	175	34981
5	177	29334
6	178	25350
7	179	22285
8	180	19893
9	181	17971
10	182	16388
11	183	15068
12	183	13952
13	184	12994
14	185	12166
15	186	11498
16	188	10890
17	189	10324
18	189	9809
19	191	9363
20	191	8947
21	192	8566
22	193	8219
23	194	7899
24	194	7604
25	195	7333
26	196	7083
27	198	6901
28	199	6682
29	200	6485
30	201	6304
31	202	6129
32	203	5969
33	204	5811
34	205	5661
35	207	5543
36	208	5415
37	209	5295
38	209	5173
39	210	5059
40	211	4946
41	212	4843
42	213	4743
43	213	4646
44	214	4552
45	215	4468
46	216	4386
47	217	4308
48	218	4233
49	218	4158
50	219	4089
51	220	4021
52	221	3954
53	222	3889
54	222	3827
55	223	3768
56	224	3711
57	225	3656
58	226	3610
59	230	3604
60	230	3555
61	233	3532
62	234	3486
63	235	3438
64	235	3391
65	236	3346
66	237	3304
67	238	3263
68	238	3224
69	240	3193
70	241	3155
71	241	3117
72	242	3081
73	243	3046
74	244	3015
75	245	2983
76	246	2950
77	246	2917
78	247	2885
79	248	2855
80	248	2823
81	250	2804
82	251	2774
83	252	2749
84	253	2731
85	254	2708
86	255	2685
87	256	2661
88	257	2638
89	258	2615
90	259	2591
91	260	2569
92	261	2547
93	262	2526
94	262	2504
95	263	2483
96	264	2462
97	265	2442
98	266	2426
99	268	2412
100	269	2395
101	270	2380
102	273	2379
103	273	2360
104	274	2343
105	275	2326
106	276	2310
107	277	2292
108	278	2275
109	279	2259
110	280	2243
111	281	2232
112	282	2217
113	283	2202
114	284	2189
115	285	2173
116	285	2157
117	286	2143
118	287	2127
119	288	2113
120	288	2099
121	289	2084
122	290	2072
123	291	2058
124	292	2047
125	295	2051
126	297	2044
127	298	2036
128	299	2024
129	300	2012
130	301	2000
131	302	1988
132	303	1976
133	304	1966
134	305	1955
135	306	1944
136	306	1933
137	307	1922
138	308	1911
139	309	1900
140	310	1890
141	310	1877
142	311	1866
143	312	1855
144	312	1845
145	313	1834
146	314	1824
147	315	1814
148	316	1805
149	318	1807
150	320	1799
151	323	1804
152	324	1796
153	325	1787
154	326	1777
155	326	1768
156	327	1758
157	328	1749
158	329	1740
159	329	1731
160	330	1720
161	330	1711
162	331	1702
163	332	1693
164	332	1684
165	333	1675
166	334	1669
167	335	1662
168	336	1656
169	338	1651
170	339	1643
171	339	1635
172	340	1628
173	341	1621
174	342	1614
175	343	1607
176	344	1599
177	344	1592
178	345	1584
179	346	1578
180	347	1571
181	348	1564
182	348	1557
183	349	1549
184	350	1542
185	350	1535
186	351	1528
187	352	1523
188	353	1517
189	354	1512
190	355	1506
191	356	1500
192	357	1493
193	357	1486
194	359	1483
195	360	1477
196	361	1472
197	362	1466
198	362	1460
199	363	1454
200	364	1448
201	365	1445
202	366	1440
203	367	1434
204	368	1429
205	369	1424
206	370	1419
207	371	1414
208	372	1410
209	373	1404
210	374	1399
211	375	1394
212	376	1390
213	377	1384
214	377	1379
215	378	1373
216	379	1368
217	379	1362
218	380	1357
219	381	1351
220	381	1346
221	382	1340
222	383	1335
223	384	1330
224	384	1325
225	385	1320
226	386	1315
227	387	1311
228	388	1309
229	390	1307
230	391	1303
231	392	1299
232	393	1296
233	395	1294
234	396	1289
235	397	1285
